shipment-date,sku,asin,fulfillment-center-id,original-fulfillment-center-id,quantity,replacement-reason-code,replacement-amazon-order-id,original-amazon-order-id,,,
2025-11-05T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,QWTT,QWTT,1,0,171-3032078-9796341,171-3734892-6133143,,,
2025-11-05T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,QWTT,QWTT,1,0,407-7931314-1021134,405-9127223-9454758,,,
2025-11-05T04:00:00+04:00,INLIN91500030,B0C7QT1433,QWTT,QWTT,1,0,405-7829483-2362765,407-0081314-7636336,,,
2025-11-05T04:00:00+04:00,HP MPP 1.51 Stylus Pen,B09GBDTLRJ,QWTT,QWTT,1,0,408-8613026-9372329,171-4046082-3537121,,,
2025-11-05T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,QWTT,QWTT,1,2,408-3043676-3051543,407-7654232-7765157,,,
2025-11-05T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,QWTT,QWTT,1,2,408-0740606-6681145,402-5591948-1657940,,,
2025-11-05T04:00:00+04:00,XJ-CBRZ-XN93,B01BWIDFBY,QWTT,QWTT,1,0,405-5560765-1449141,406-0611460-4083537,,,
2025-11-05T04:00:00+04:00,SU-MG03,B0DJH2J2FC,QWTT,QWTT,1,0,408-0185299-7656347,405-7211913-9753116,,,
2025-11-04T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,BOM5,BOM5,1,2,408-1561461-6426751,407-0508130-6818744,,,
2025-11-04T04:00:00+04:00,A8-TX8M-UN0R,B0BFFCF1JP,CCX1,CCX1,1,10,171-3811553-5377167,405-0178014-7571515,,,
2025-11-04T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BLR8,BLR8,1,2,408-1501731-2859527,402-1718960-6255544,,,
2025-11-04T04:00:00+04:00,BG-9DV3-O2V8,B00NNQP7O2,DEL4,DEL4,1,0,406-8886867-4020334,406-8826004-7929913,,,
2025-11-04T04:00:00+04:00,INLIN91500030,B0C7QT1433,BLR8,BLR8,1,2,171-6275133-1993124,402-2378915-6596314,,,
2025-11-04T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BLR8,BLR8,1,2,408-4491252-2354736,407-2922885-3064348,,,
2025-11-04T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,CCX1,CCX1,1,2,408-4654182-8774746,406-3488269-4653900,,,
2025-11-04T04:00:00+04:00,inal-IN90200079,B0979BT98Q,CCX1,CCX1,1,2,408-5432452-5129167,404-2990505-9351504,,,
2025-11-04T04:00:00+04:00,6.7731,B000WL8DNI,BOM5,BOM5,1,0,408-7073592-1307522,406-2771221-0044317,,,
2025-11-04T04:00:00+04:00,6.7733,B000WLFNL8,BOM5,BOM5,1,0,408-7073592-1307522,406-2771221-0044317,,,
2025-11-04T04:00:00+04:00,WCF-63154889,B0CT8BG7LW,BOM7,BOM7,1,2,408-0697578-9100347,402-3380321-1685961,,,
2025-11-04T04:00:00+04:00,H-Magnechef Induction,B0DRSDM8G7,DEL5,DEL5,1,2,402-4507941-7552336,408-5797899-7915551,,,
2025-11-04T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,LKO1,LKO1,1,2,408-7541273-4997913,405-4452207-1856320,,,
2025-11-04T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,CCX2,CCX2,1,2,408-6360001-2733936,404-4217655-1773118,,,
2025-11-04T04:00:00+04:00,6.7111.3,B001U54YBU,HYD8,HYD8,1,0,407-3574324-2230728,406-3633383-2360307,,,
2025-11-04T04:00:00+04:00,98053013,B0F9P39X6S,DEX3,DEX3,1,10,408-8102713-3231562,404-4839392-7353902,,,
2025-11-04T04:00:00+04:00,MWAF 04,B0D5HYLCDK,QWTT,QWTT,1,0,405-4208435-8615536,407-8397634-1665934,,,
2025-11-04T04:00:00+04:00,LL-RKA6-QF46,B08ZNJB5T3,QWTT,QWTT,1,0,405-3566972-8735513,406-9877474-2632310,,,
2025-11-04T04:00:00+04:00,CA-D1SR-XIQ5,B00A328GSS,QWTT,QWTT,1,0,407-2276636-2087507,404-4272570-9047521,,,
2025-11-04T04:00:00+04:00,Bullet,B0DZ2VXTL3,QWTT,QWTT,1,3,408-9010814-7189930,405-2877131-0069931,,,
2025-11-04T04:00:00+04:00,Bullet,B0DZ2VXTL3,QWTT,QWTT,1,3,408-3521658-8646767,408-9167325-0481160,,,
2025-11-03T04:00:00+04:00,INLSIN90700058,B0BYDBSXN4,DEL5,DEL5,1,0,406-9366174-1310724,402-6845251-8369900,,,
2025-11-03T04:00:00+04:00,BERG-BGIN-6244,B0CW36DBZZ,DEL5,DEL5,1,10,408-4869093-3259540,408-1667850-5397142,,,
2025-11-03T04:00:00+04:00,A9-CE1K-SA2S,B08SKBMYSG,MAA4,MAA4,1,0,405-4027238-9669901,406-1793306-1197160,,,
2025-11-03T04:00:00+04:00,ZY-H7FS-F5WY,B007PZKMSI,BLR8,BLR8,1,0,403-4516693-9528339,405-8106759-9146708,,,
2025-11-03T04:00:00+04:00,A8-TX8M-UN0R,B0BFFCF1JP,BOM5,BOM5,1,10,408-1351865-3250755,404-6806756-8736353,,,
2025-11-03T04:00:00+04:00,6.9003.10W,B09BFYMC1N,DEL5,DEL5,1,2,408-4866467-0154705,406-8648296-6413955,,,
2025-11-03T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL4,DEL4,1,2,408-6683219-0930762,405-4059440-0653165,,,
2025-11-03T04:00:00+04:00,Inal-IN90200064,B088X13S1L,NAX1,NAX1,1,4,408-9663585-6157923,403-6521167-9921111,,,
2025-11-03T04:00:00+04:00,INLIN91500030,B0C7QT1433,PNQ3,PNQ3,1,0,171-8296596-8855529,402-4059455-3431545,,,
2025-11-03T04:00:00+04:00,O4-7Y1H-HWLC,B01N19BEFD,PNQ3,PNQ3,1,2,408-0181472-6506777,403-4773129-9491542,,,
2025-11-03T04:00:00+04:00,Inal-IN90200064,B088X13S1L,DEL5,DEL5,1,4,408-6001466-3856346,402-0300435-4424337,,,
2025-11-03T04:00:00+04:00,611877,B09JWK2D9K,DEL5,DEL5,1,4,408-4913230-8073939,408-6623323-6267535,,,
2025-11-03T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DED4,DED4,1,2,408-5672051-4495517,406-6669731-6441938,,,
2025-11-03T04:00:00+04:00,1M-21W7-626A,B07X357LDZ,DEL4,DEL4,1,0,404-1725813-8151559,408-4198506-2146751,,,
2025-11-03T04:00:00+04:00,BERG-BGIN-6244,B0CW36DBZZ,LDX1,LDX1,1,2,408-6221353-2357914,403-7065921-8033106,,,
2025-11-03T04:00:00+04:00,6.7832,B001U57228,BOM5,BOM5,1,3,408-2823426-7123565,171-0169917-0236349,,,
2025-11-03T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,DEL5,DEL5,1,0,408-6510113-1118721,405-3028380-1973964,,,
2025-11-03T04:00:00+04:00,98052010,B0D28VVKC7,DEL5,DEL5,1,2,408-2671834-7780301,403-6982249-7969137,,,
2025-11-03T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL5,DEL5,1,2,408-4830482-6289162,403-9696147-6677904,,,
2025-11-03T04:00:00+04:00,1.3603,B0001P15CG,DED4,DED4,1,2,408-2188115-2901163,408-0891769-4995512,,,
2025-11-03T04:00:00+04:00,0I-KKZL-OS0W,B01N4N3LOD,DED4,DED4,1,10,404-6821374-9377929,408-4426436-9705916,,,
2025-11-03T04:00:00+04:00,INLIN00000023,B0CKR1G5ZQ,QWTT,QWTT,1,5,406-3820976-4195529,171-7584197-9944369,,,
2025-11-03T04:00:00+04:00,Sujata Citromatic Juicer,B01M27VIEX,QWTT,QWTT,1,4,408-4676448-5794700,405-9694339-5627504,,,
2025-11-03T04:00:00+04:00,LZ-0AIR-C1IX,B0CKHQC9YM,QWTT,QWTT,1,2,404-3277492-6919529,406-0107385-8422760,,,
2025-11-03T04:00:00+04:00,JC-9ASN-OTGU,B01MFA2KUW,QWTT,QWTT,1,0,408-2708429-3605144,403-0862239-4488326,,,
2025-11-03T04:00:00+04:00,USH403345126N,B0BN5XGXLV,QWTT,QWTT,1,10,408-2642722-8324342,408-4269562-8451544,,,
2025-11-03T04:00:00+04:00,Bullet,B0DZ2VXTL3,QWTT,QWTT,1,10,408-7017431-0642707,407-8492169-8904311,,,
2025-11-03T04:00:00+04:00,Bullet,B0DZ2VXTL3,QWTT,QWTT,1,10,408-7541307-3648329,406-0156882-1010708,,,
2025-11-03T04:00:00+04:00,NP-JXSQ-AOT1,B07QSBVGFH,QWTT,QWTT,1,0,171-2633108-0993128,406-8692632-2617134,,,
2025-11-02T04:00:00+04:00,INLIN90700059,B0CHVZ596W,BLR8,BLR8,1,0,171-5503447-7601943,405-6237363-8214718,,,
2025-11-02T04:00:00+04:00,A8-TX8M-UN0R,B0BFFCF1JP,DEL5,DEL5,1,2,408-8567788-6245140,403-3206089-6565939,,,
2025-11-02T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL4,DEL4,1,2,408-4570261-4317113,405-6784725-2674715,,,
2025-11-02T04:00:00+04:00,inal-IN90200079,B0979BT98Q,HYD8,HYD8,1,2,408-6666107-6325966,171-7488270-0441945,,,
2025-11-02T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DEX3,DEX3,1,2,408-9964591-9798702,402-7339094-2493159,,,
2025-11-02T04:00:00+04:00,Cosicosy 1400,B0FB8X4DKT,BLR8,BLR8,1,2,408-5138109-0471528,405-3931891-5461936,,,
2025-11-02T04:00:00+04:00,98052007,B0D28S4P3X,BOM5,BOM5,1,0,408-8199811-6921931,404-7245276-7903550,,,
2025-11-02T04:00:00+04:00,H-Magnechef Induction,B0DRSDM8G7,DEL4,DEL4,1,0,408-6374207-4482764,408-5554391-8054769,,,
2025-11-02T04:00:00+04:00,LI-FXQV-WVV3,B073X41CSH,CCX2,CCX2,1,10,408-6441943-3909131,406-4328020-3544348,,,
2025-11-02T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL4,DEL4,1,10,408-5551347-2298722,408-3919465-1465934,,,
2025-11-02T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL4,DEL4,1,0,407-2452859-9636345,404-3776546-1927521,,,
2025-11-02T04:00:00+04:00,INLIN91500030,B0C7QT1433,LKO1,LKO1,1,0,406-7978471-8783543,408-8383415-2017161,,,
2025-11-02T04:00:00+04:00,BERG-BGIN-6298,B0CW37WHT9,BOM5,BOM5,1,2,408-4975859-9518733,407-9671665-5574726,,,
2025-11-02T04:00:00+04:00,Ha-done+1.7red,B0BWF4XWPJ,BOM7,BOM7,1,0,406-9945993-8885908,405-5539115-8051506,,,
2025-11-02T04:00:00+04:00,Taurus Stick MOP VC Vacwand,B0D8WDLRQ8,BLR7,BLR7,1,2,403-6186297-3801915,404-2945648-6470750,,,
2025-11-02T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DEL5,DEL5,1,2,408-0334900-8967522,402-0683733-1311565,,,
2025-11-02T04:00:00+04:00,INLIN91500030,B0C7QT1433,DEL4,DEL4,1,0,171-5943648-4509910,171-1110862-3336336,,,
2025-11-02T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,CJB1,CJB1,1,2,408-3202261-6261968,405-4776819-5777100,,,
2025-11-02T04:00:00+04:00,AH-JFRO-EQI1,B07KSF6MGX,HYD3,HYD3,1,2,408-5074577-5231546,404-9952826-4456329,,,
2025-11-02T04:00:00+04:00,Duster Lux,B0DSP8655C,DED4,DED4,1,2,408-3692415-4368341,408-1403515-7708361,,,
2025-11-02T04:00:00+04:00,INLIN00000023,B0CKR1G5ZQ,CCX2,CCX2,1,2,404-3803586-9013934,408-2156126-8661104,,,
2025-11-02T04:00:00+04:00,INLIN91500030,B0C7QT1433,CJB1,CJB1,1,0,402-2224020-8313953,404-7049931-1194745,,,
2025-11-02T04:00:00+04:00,BERG- BGIN-6211,B0DHRT9MND,ATX1,ATX1,1,10,408-3255580-3445165,403-6041788-5632309,,,
2025-11-02T04:00:00+04:00,6.0963.1,B0DGG6W2R6,BLR8,BLR8,1,2,408-6001590-2192363,402-1675307-5981117,,,
2025-11-01T04:00:00+04:00,1M-21W7-626A,B07X357LDZ,BOM5,BOM5,1,0,408-4130978-4070758,403-1187802-9835516,,,
2025-11-01T04:00:00+04:00,98052501,B0DG8LBTL6,DEL5,DEL5,1,3,408-7734070-9997127,408-3132044-0221919,,,
2025-11-01T04:00:00+04:00,INLIN91500030,B0C7QT1433,BOM5,BOM5,1,10,402-8970532-3650703,407-4800481-0732347,,,
2025-11-01T04:00:00+04:00,BERG-BGIN-6241,B0CW39RJTP,BOM5,BOM5,1,2,408-1652012-4449940,406-4264015-4529961,,,
2025-11-01T04:00:00+04:00,5H-QW0B-0Z7V,B098X5BZSR,CJB1,CJB1,1,0,407-1772180-9301101,403-9473333-8794706,,,
2025-11-01T04:00:00+04:00,98052007,B0D28S4P3X,PNQ3,PNQ3,1,2,408-9490788-8885929,407-1902424-0211525,,,
2025-11-01T04:00:00+04:00,pana-Rice &amp; Pasta Cookers-450 W,B09QGWFL57,PNQ3,PNQ3,1,10,408-1939166-5725153,404-3634242-2886766,,,
2025-11-01T04:00:00+04:00,3W-POHK-FCYR,B07JGNN8DC,DED4,DED4,1,0,405-7412417-0001932,406-0474533-6669967,,,
2025-11-01T04:00:00+04:00,Inal-IN90200064,B088X13S1L,DEL4,DEL4,1,2,408-6042943-8685925,408-5103508-8015511,,,
2025-11-01T04:00:00+04:00,G4-RR61-Q0RF,B08THWDSNW,MAA4,MAA4,1,2,403-5339963-9317140,403-1649584-7989945,,,
2025-11-01T04:00:00+04:00,HPWP-2KW-89,B0B1DFK1TD,ATX1,ATX1,1,0,403-6722759-6646757,404-7538385-8987502,,,
